
7514,1060
2009,4638
9981,3899
6860,1803
439,3482
317,684
6540,1020
7541,4136
5718,2409
8661,16
7628,90
4952,1017
2919,4458
992,3494
9233,4733
5809,2414
6245,3141
2086,2865
9089,2409
3881,1538
7429,2045
8483,2135
2252,2099
2426,118
8973,4609
4093,1310
719,3312
6094,1013
7926,515
7241,4676
1935,418
8535,1362
7255,3293
3766,3911
5711,3607
2266,2080
6731,1628
8320,4710
1259,2876
7475,1525
3929,164
7990,417
9105,3680
1878,4624
1641,2299
661,4519
3983,4600
559,3189
7666,873
9449,2188
47,4353
1446,3917
715,2200
3711,4429
7575,4258
1362,3258
6486,3448
6994,4131
7064,160
2314,657
5924,3039
4909,805
702,2225
3328,1806
1372,1008
5300,794
915,4263
2455,2745
7735,4516
7791,2461
9023,3253
7375,2120
928,2300
2578,2692
2435,3362
1044,2459
6918,4869
8924,2518
7493,457
9489,1960
6386,4656
9765,3258
7181,1237
1101,4012
9700,1906
1664,1956
6625,1202
7431,2412
197,2410
4537,4184
502,449
9156,1026
802,308
7305,795
6187,1495
880,854
916,4192
4234,3206
7891,1974
5148,4372
7003,2330
8354,3580
7310,2079
7257,3468
3120,1872
5270,164
639,2071
5306,4826
3744,2198
4930,850
4009,2838
5360,3547
1222,2429
2498,4454
8482,4918
2461,4017
463,3704
4055,3934
3292,2658
9974,4816
7932,2909
7389,1245
2393,1413
8762,4698
8236,3197
3752,3882
1628,4898
4387,4936
7175,1171
3509,4387
4229,2810
4190,1295
2646,2987
8833,231
6426,1588
8882,3454
3499,3360
1486,1902
6896,2682
9049,4911
5521,1595
3413,2449
8778,626
8149,931
1241,1393
9438,3407
7931,4395
7231,3338
8930,3469
1765,751
9922,2401
8729,1517
2326,3936
3496,4033
8361,2669
7564,3053
4509,800
3418,4054
8721,693
5940,382
5732,653
9411,2566
1550,3649
2436,3773
8464,2851
8791,453
8656,3843
1572,915
7962,1578
9444,3496
8047,840
1031,4533
8385,1021
2531,4629
6400,3714
5941,4208
8686,3447
88,2652
7580,2971
6609,3579
5511,256
7408,9
5578,4239
4000,2537
5225,257
4281,4706
1406,4160
7839,4853
3375,50
9133,2507
252,645
369,1946
2016,2691
2111,1708
5661,4689
3686,4902
2807,1484
7852,368
7744,4894
2598,2902
1364,4118
8063,575
8576,2379
3536,4697
173,4679
2724,3111
5803,3393
1686,1727
196,4908
4619,1607
8669,336
8572,2213
126,927
1791,2758
1732,1015
3620,3016
2122,4851
2828,2558
2158,4029
623,4677
9750,3302
6070,4289
4875,2350
424,4995
3084,3053
8389,2
3782,4571
9948,1706
2503,2561
3272,1949
5210,2132
767,2464
3279,2412
767,1011
5069,570
5048,169
7723,4410
4409,2916
8514,581
7721,736
9463,2518
4712,108
4359,3283
9992,2257
1570,3301
8977,3044
2879,3080
2386,1906
5427,2431
389,4337
1036,1983
888,2040
5231,2651
7756,2967
147,3401
966,3961
3929,4045
5858,563
2565,3598
8827,513
6982,1951
3808,1583
4391,4067
1162,801
8176,2552
7267,3689
4673,1073
821,4580
7345,2773
5098,325
1831,4157
8727,3964
2877,2119
1206,2376
3181,695
19,1993
484,329
9170,2256
8728,4970
7187,198
2518,3317
230,3355
5557,2609
9610,3429
1479,292
6693,2869
5097,3186
2335,4035
4180,3984
379,3586
624,1632
1517,4642
5526,3487
8716,1146
2080,3954
2816,2223
6577,2585
9075,4938
1852,3706
3923,1666
2269,4747
2717,874
606,3190
4467,815
1847,1696
4724,1190
9279,1554
1778,2909
3711,2175
3804,632
9558,1161
2739,298
4716,4439
8892,485
2406,4254
9626,1067
9198,4660
4947,3688
9329,947
7149,3933
4201,3480
4587,552
7113,733
8828,165
9475,2923
9034,4666
3491,2023
8510,4381
700,3911
4252,1167
1015,1712
7573,4859
8340,790
8748,464
9744,561
737,577
5356,2760
8971,1331
5326,654
5094,2692
2072,416
6230,390
6116,4559
94,3225
6518,2236
2913,3339
7122,1543
3956,2098
2843,641
7502,1367
3635,407
2861,3071
6435,4866
9416,3173
42,4019
5441,3075
4642,1042
2750,1874
5770,1858
5875,1774
2496,2530
6122,1573
1557,1502
8966,1017
9626,2209
133,2780
1995,1684
7409,3487
4411,598
4465,2186
1477,1317
760,1888
3136,1096
4087,4866
4602,2713
6420,1578
7390,3705
4410,508
3133,721
6671,1238
3524,2273
1588,2853
481,4865
849,4021
4199,2417
3585,2699
2285,3240
2589,724
5116,3677
2320,1513
8086,1201
2095,4619
894,2307
5689,2889
4462,372
379,2024
2700,2682
8831,4414
4849,2360
9692,3351
5613,4874
2665,994
1082,2928
4186,874
7235,2564
3456,4265
854,124
1100,2475
9700,4443
2153,224
6184,1390
3780,1229
3352,2865
1883,1331
5564,499
9633,4837
9323,846
2215,3961
9300,2028
1391,2434
4129,793
3336,821
3642,1104
8063,3441
3274,1905
4375,982
1628,4644
9550,1770
74,4761
2960,2671
1247,2051
2014,2181
363,2163
8009,1862
10000,3829
2156,2258
7658,748
9247,577
2853,4357
8276,3458
6883,839
7529,806
6771,2737
2731,771
6864,324
8814,4505
8047,698
4385,4531
5821,4958
6771,848
2361,3136
2763,785
677,1146
4236,74
1646,4378
3030,84
9122,1652
3000,741
1984,4515
3613,1558
8851,4595
6628,60
663,4083
5290,715
3537,2942
5639,3227
728,3557
6169,638
8811,3336
2736,73
9930,4135
